Gene_ID,Gene_Name,AUC,Accuracy,Sensitivity,Specificity
0,ybcS,0.9955357142857142,0.9826086956521739,1.0,0.9821428571428571
1,proV,,1.0,0.0,1.0
2,acrA,0.8805309734513274,0.9826086956521739,0.0,1.0
3,evgS,,1.0,0.0,1.0
4,topA,0.973714953271028,0.9739130434782609,0.625,1.0
5,mrdA,0.8269230769230769,0.9043478260869565,0.0,1.0
6,araJ,0.9800884955752212,0.9826086956521739,0.0,1.0
7,pcnB,0.993362831858407,0.9826086956521739,0.0,1.0
8,thrA,0.5900900900900901,0.9652173913043478,0.0,1.0
9,gyrA,0.9845454545454545,0.9826086956521739,0.6,1.0
10,mrdB,0.97,0.9826086956521739,0.8,0.990909090909091
11,mokC.nhaA,0.9992354740061162,0.991304347826087,0.8333333333333334,1.0
12,yaaH,1.0,0.991304347826087,1.0,0.990990990990991
13,ybaL,0.9393939393939393,0.8695652173913043,0.9090909090909091,0.8602150537634409
14,cls,0.8553748231966054,0.8782608695652174,0.0,1.0
15,murE,,1.0,0.0,1.0
16,ompF.asnS,0.8561946902654868,0.9826086956521739,0.0,1.0
17,ftsW,0.17982456140350878,0.991304347826087,0.0,1.0
18,dgt,,1.0,0.0,1.0
19,secF,0.8440366972477065,0.9478260869565217,0.0,1.0
20,ECB_00212,0.8464912280701754,0.991304347826087,0.0,1.0
21,cyoA.ampG,0.6175595238095238,0.9739130434782609,0.0,1.0
22,lon.hupB,0.9955357142857143,0.9826086956521739,1.0,0.9821428571428571
23,mraZ,,1.0,0.0,1.0
24,yahA,0.5730088495575221,0.9826086956521739,0.0,1.0
25,fsr,0.581858407079646,0.9826086956521739,0.0,1.0
26,frmB,1.0,0.991304347826087,0.0,1.0
27,ylaB,,1.0,0.0,1.0
28,nagD,0.6150442477876106,0.9826086956521739,0.0,1.0
29,tig,0.986842105263158,0.991304347826087,0.0,1.0
30,sbcC,0.34649122807017546,0.991304347826087,0.0,1.0
31,ykgE,,1.0,0.0,1.0
32,yahG,0.11842105263157893,0.991304347826087,0.0,1.0
33,polB,,1.0,0.0,1.0
34,kefC,,1.0,0.0,1.0
35,pdhR,0.6535087719298245,0.991304347826087,0.0,1.0
36,gltL,0.8824404761904762,0.9739130434782609,0.0,1.0
37,dnaK,0.9800884955752212,0.9826086956521739,0.0,1.0
38,hfq,,1.0,0.0,1.0
39,menD,0.7280701754385965,0.991304347826087,0.0,1.0
40,dnaJ,,1.0,0.0,1.0
41,lpxC,0.9791666666666666,0.9739130434782609,0.0,1.0
42,hepA,0.9912280701754386,0.991304347826087,0.0,1.0
43,sgrR,0.9956140350877194,0.991304347826087,0.0,1.0
44,insL.1,,1.0,0.0,1.0
45,spoT,0.9749190938511327,0.9130434782608695,0.25,0.9902912621359223
46,yfbV.ackA,,0.991304347826087,0.0,0.991304347826087
47,ydcD,,1.0,0.0,1.0
48,mokB.trg,0.9955357142857142,0.9826086956521739,1.0,0.9821428571428571
49,rlmL,,1.0,0.0,1.0
50,glpK,1.0,1.0,1.0,1.0
51,rpoS,0.7840909090909091,0.9304347826086956,0.6363636363636364,0.9615384615384616
52,mdtG.lpxL,,1.0,0.0,1.0
53,mglO,0.9732142857142857,0.9739130434782609,0.0,1.0
54,rpoA,0.8229166666666666,0.9739130434782609,0.0,1.0
55,proX,0.5087719298245614,0.991304347826087,0.0,1.0
56,COG0428,,1.0,0.0,1.0
57,miaA.hfq,0.9601769911504425,0.991304347826087,0.5,1.0
58,lpxM,,1.0,0.0,1.0
59,yecC,,1.0,0.0,1.0
60,mglD,0.9649122807017544,0.991304347826087,0.0,1.0
61,can.yadG,0.3201754385964912,0.991304347826087,0.0,1.0
62,ycaQ,,1.0,0.0,1.0
63,csgD.csgB,0.6349557522123894,0.9826086956521739,0.0,1.0
64,xapA,,1.0,0.0,1.0
65,yciW,0.375,0.9739130434782609,0.0,1.0
66,araA,,1.0,0.0,1.0
67,acrB,0.9550264550264551,0.9565217391304348,0.42857142857142855,0.9907407407407407
68,groL,1.0,1.0,1.0,1.0
69,plsX,,1.0,0.0,1.0
70,fucO,,1.0,0.0,1.0
71,yoaA,1.0,0.991304347826087,0.0,1.0
72,hflK,0.9851190476190477,0.9826086956521739,0.3333333333333333,1.0
73,aroA.ycaL,,1.0,0.0,1.0
74,ycdR,,1.0,0.0,1.0
75,uvrB,0.9668141592920354,0.9826086956521739,0.0,1.0
76,nuoF,,1.0,0.0,1.0
77,gatZ,0.994047619047619,0.9826086956521739,1.0,0.9821428571428571
78,srlR,0.9868421052631579,0.991304347826087,0.0,1.0
79,arcA,0.25,0.991304347826087,0.0,1.0
80,yffN,,1.0,0.0,1.0
81,gatC,0.9868421052631579,0.991304347826087,0.0,1.0
82,ydaV,,1.0,0.0,1.0
83,garK,,1.0,0.0,1.0
84,rpoB,0.8616680032076984,0.8347826086956521,0.7241379310344828,0.872093023255814
85,udhA,0.6814159292035398,0.9826086956521739,0.5,0.9911504424778761
86,marR,0.9932432432432433,0.9739130434782609,1.0,0.972972972972973
87,acrR,0.9436363636363636,0.9391304347826087,0.2,0.9727272727272728
88,fis,0.9243119266055045,0.9478260869565217,0.5,0.9724770642201835
89,manY,,1.0,0.0,1.0
90,kefC.folA,1.0,1.0,1.0,1.0
